Factor_Evidence_Map_ID,Factor_ID,Card_ID,Evidence_ID,Sort_Order,Is_Primary
FEM-0305,CPF-0061,CARD-0242,CEVID-0206,1,YES
FEM-0306,CTF-0061,CARD-0243,CEVID-0204,1,YES
FEM-0307,CEF-0061,CARD-0244,CEVID-0207,1,YES
FEM-0308,CCF-0062,CARD-0245,CEVID-0208,1,YES
FEM-0309,CCF-0062,CARD-0245,CEVID-0209,2,NO
FEM-0310,CPF-0062,CARD-0246,CEVID-0210,1,YES
FEM-0311,CPF-0062,CARD-0246,CEVID-0208,2,NO
FEM-0312,CTF-0062,CARD-0247,CEVID-0211,1,YES
FEM-0313,CEF-0062,CARD-0248,CEVID-0208,1,YES
FEM-0314,CCF-0063,CARD-0249,CEVID-0212,1,YES
FEM-0315,CCF-0063,CARD-0249,CEVID-0213,2,NO
FEM-0316,CPF-0063,CARD-0250,CEVID-0160,1,YES
FEM-0317,CTF-0063,CARD-0251,CEVID-0213,1,YES
FEM-0318,CEF-0063,CARD-0252,CEVID-0160,1,YES
FEM-0319,CCF-0064,CARD-0253,CEVID-0214,1,YES
FEM-0320,CPF-0064,CARD-0254,CEVID-0214,1,YES
FEM-0321,CTF-0064,CARD-0255,CEVID-0214,1,YES
FEM-0322,CEF-0064,CARD-0256,CEVID-0214,1,YES
FEM-0323,CCF-0065,CARD-0257,CEVID-0215,1,YES
FEM-0324,CCF-0065,CARD-0257,CEVID-0216,2,NO
FEM-0325,CPF-0065,CARD-0258,CEVID-0215,1,YES
FEM-0326,CPF-0065,CARD-0258,CEVID-0216,2,NO
FEM-0327,CTF-0065,CARD-0259,CEVID-0215,1,YES
FEM-0328,CTF-0065,CARD-0259,CEVID-0216,2,NO
FEM-0329,CEF-0065,CARD-0260,CEVID-0215,1,YES
FEM-0330,CEF-0065,CARD-0260,CEVID-0216,2,NO
FEM-0331,CCF-0066,CARD-0261,CEVID-0217,1,YES
FEM-0332,CPF-0066,CARD-0262,CEVID-0217,1,YES
FEM-0333,CTF-0066,CARD-0263,CEVID-0217,1,YES
FEM-0334,CEF-0066,CARD-0264,CEVID-0217,1,YES
FEM-0335,CCF-0067,CARD-0265,CEVID-0218,1,YES
FEM-0336,CPF-0067,CARD-0266,CEVID-0218,1,YES
FEM-0337,CTF-0067,CARD-0267,CEVID-0218,1,YES
FEM-0338,CEF-0067,CARD-0268,CEVID-0218,1,YES
FEM-0339,CCF-0068,CARD-0269,CEVID-0219,1,YES
FEM-0340,CPF-0068,CARD-0270,CEVID-0219,1,YES
